zoho_account_id,zoho_url,account_name,tags,matched_tags,owner_name,owner_email,owner_id,website,company_linkedin,phone,industry,employees,company_size,annual_revenue,revenue_size,annual_revenue_text,annual_revenue_numeric,parent_account_name,parent_account_id,address,city,state,zip,country,billing_street,billing_city,billing_state,billing_code,billing_country,account_code,account_status,icp_score,signal_score,tier,track,current_erp_pain,budget_sap_roadmap,timeline,trigger_event_news,lead_source,campaign_name,import_notes,description,created_by,modified_by,created_time,modified_time,last_activity_time
6834250000003159047,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159047,"Airspace Systems, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.airspace.co,,,Relays and Industrial Controls,,,3289099,,,,,,,,CA,,US,1933 Davis St Ste 229,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-23T20:18:34+05:30
6834250000003159048,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159048,"Airxcel, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.airxcel.com,,,A/C & Heating Equip.,,,495932418,,,,,,,,KS,,US,3050 N Saint Francis St,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:12+05:30
6834250000003159049,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159049,"Aitech Rugged Group, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.rugged.com,,,"Electr.Machinery,NEC",,,32716883,,,,,,,,CA,,US,19756 PRAIRIE ST,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:25+05:30
6834250000003159050,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159050,"Allison Marine Contractors, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.allisonmarine.net/,,,Ship Building and Repairing,,,9954860,,,,,,,,LA,70340,US,9828 Highway 182 East,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000003314095,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314095,Alnylam Pharmaceuticals,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.alnylam.com,http://www.linkedin.com/company/alnylam-pharmaceuticals,+1 617-551-8200,research,2300,,3713937000,,,,,,,,,,,675 W Kendall St,Cambridge,Massachusetts,02142-1168,United States,,,,,,,,,,,,,,Alnylam is a Massachusetts-based biopharmaceutical company that develops RNA interference therapeutics for genetically defined diseases.,Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000003314072,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314072,AM General,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.amgeneral.com,http://www.linkedin.com/company/am-general,+1 574-237-6222,defense & space,1100,,401900000,,,,,,,,,,,105 North Niles Avenue,South Bend,Indiana,46617,United States,,,,,,,,,,,,,,"AM General LLC is a prominent manufacturer of specialized military and commercial vehicles, based in South Bend, Indiana. With a history spanning over 100 years, the company is known for designing the original Jeep and producing the HUMVEE family of light tactical vehicles. Employing around 1,000 to 1,500 workers, AM General operates across multiple facilities in Indiana, Michigan, and Ohio, collaborating with over 1,700 suppliers nationwide.

The company focuses on high-mobility vehicles, including military models like the HUMVEE, Joint Light Tactical Vehicle, and various commercial vehicles such as the HUMMER H1. AM General also offers powertrain components through its subsidiaries and provides extensive support services, including logistics, training, and customization. With a commitment to innovation and reliability, AM General serves military, commercial, and government customers in over 70 countries, ensuring mission readiness and operational sustainability.",Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000003314098,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314098,American Crystal Sugar,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.crystalsugar.com,http://www.linkedin.com/company/american-crystal-sugar-company,+1 218-236-4400,food production,1800,,1600000000,,,,,,,,,,,101 3rd Street North,Moorhead,Minnesota,56560,United States,,,,,,,,,,,,,,"American Crystal Sugar Company is a prominent agricultural cooperative focused on sugarbeet production and processing. Headquartered in Moorhead, Minnesota, it operates across Minnesota, North Dakota, and Montana. Established in 1899 and becoming a grower-owned cooperative in 1973, the company is supported by nearly 2,800 shareholder-growers who cultivate about one-third of the nation's sugarbeet acreage, primarily in the Red River Valley.

The company produces high-quality CRYSTAL SUGAR, which is distributed nationwide for retail and commercial use. It also markets sugarbeet byproducts like molasses through its partnerships. American Crystal emphasizes sustainability and innovation, investing significantly in research and development to enhance efficiency and yield. Its operations include multiple sugar factories and a technical services center, supporting growers with resources and expertise in sugar production and related agricultural products.",Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000003159051,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159051,American Metal Technologies LLC,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://amermetals.com/,,,Industrial Machinery,,,33571093,,,,,,,,WI,,US,8213 Durand Ave,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T15:27:51+05:30
6834250000003159052,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159052,American Roller Co Llc,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,WWW.americanroller.com,,,"Metalworking Machinery, NEC",,,63320015,,,,,,,,WI,53182,US,1440 13Th Ave,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:15+05:30
6834250000001511106,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000001511106,Anchor Harvey,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/anchor-harvey/about/,,Manufacturing,,51-200,,$119.2 M,,,,,600 West Lamm Road,Freeport,IL,61032,US,,Freeport,IL,61032,US,,,,,,,,,,,,,,,Ankur Das,Aryan Dhamani,2026-01-27T21:25:33+05:30,2026-07-03T00:49:59+05:30,2026-07-03T16:49:49+05:30
6834250000003159053,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159053,"Aperia Technologies, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.aperiatech.com,,,"Special  Industry Machinery, NEC",,,25371360,,,,,,,,CA,,US,1616 Rollins Rd,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T15:29:56+05:30
6834250000003314075,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314075,Aphena Pharma,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.aphenapharma.com,http://www.linkedin.com/company/aphena-pharma-solutions-inc.,+1 931-372-2041,pharmaceuticals,450,,62100000,,,,,,,,,,,1920 Fisk Rd,Cookeville,Tennessee,38506,United States,,,,,,,,,,,,,,"Aphena Pharma Solutions, Inc. is a prominent U.S.-based contract pharmaceutical manufacturing and packaging company. Founded in 2002, it specializes in turnkey solutions for various sectors, including pharmaceuticals, dietary supplements, consumer health, animal health, medical devices, and biologics. The company operates two FDA-registered facilities located near a large portion of the U.S. population, enhancing its logistical efficiency. Headquartered in Cookeville, Tennessee, Aphena employs around 235 people and has seen significant growth, including a 500,000-square-foot facility and a new Third-Party Logistics division.

Aphena offers a wide range of services throughout the product lifecycle. This includes comprehensive packaging solutions, liquid and solid dose manufacturing, and on-site laboratory testing. The company handles diverse product formats, such as solid doses, liquids, gels, creams, and biologics, with capabilities for temperature-controlled handling. Committed to quality assurance, Aphena emphasizes its dedication to customer satisfaction and continues to expand its operations to meet market demands.",Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000002788067,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788067,API Heat Transfer,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/api-heat-transfer/about/,,Mechanical Or Industrial Engineering,,1001-5000,,$298.7 M,$298.7 M,298700000,,,2777 Walden Ave,Buffalo,NY,14225,US,2777 Walden Ave,Buffalo,NY,,US,ACC-022,Prospect,69,8,C,Track 2 — Plex,"Using: Plex Systems -operational bottlenecks and inventory accuracy, Challenges: Operational Bottlenecks, Inventory Accuracy",Will include in the next budget,9-12 month,"Leadership change trigger: API Heat Transfer appointed William Hittie as new CEO effective October 1, 2025, replacing long-tenured previous leadership. New CEOs in industrial manufacturing routinely conduct ERP and operational infrastructure reviews withi",Unbound Campaign May 2026 - Batch 3,KloudData — Unbound Campaign May 2026 | Batch 3,Created from selected lead batch. Review website/domain if required before import.,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-01T13:08:02+05:30,2026-07-03T18:12:50+05:30
6834250000003159054,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159054,"Apothecary Products, Inc",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,WWW.apothecaryproducts.com,,,Ophthalmic Goods,,,9136041,,,,,,,,MN,,US,11750 12th Ave S,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000003159055,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159055,Applied Industrial Machining,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.aim-okc.com,,,Industrial Machinery,,,23675124,,,,,,,,OK,,US,1930 SE 29th St,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000003314081,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314081,Applied Medical,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.appliedmedical.com,http://www.linkedin.com/company/appliedmedical,+1 949-713-8000,medical devices,5000,,907621000,,,,,,,,,,,22872 Avenida Empresa,Rancho Santa Margarita,California,92688,United States,,,,,,,,,,,,,,"Applied Medical is a global leader in the development and manufacturing of medical device technologies for minimally invasive and general surgery, as well as specialized surgical procedures. Founded in 1987 and headquartered in Rancho Santa Margarita, California, the company employs approximately 5,400 people and generated $800 million in revenue as of 2022, with a strong focus on research and development.

The company specializes in various surgical specialties, including bariatric, cardiac, colorectal, gynecologic, obstetric, urologic, and vascular surgery. Its product portfolio features enteral feeding devices, tube securement systems, specialized surgical kits, and innovative accessories. Applied Medical is also dedicated to clinical education, offering surgical courses and training programs to enhance surgical skills and improve patient outcomes.",Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000002759114,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002759114,"Ardelyx, Inc.",FOCUS,FOCUS,Linda Spione,linda.spione@klouddata.com,6834250000003103001,https://ardelyx.com,,19785017846.0,research,,,407320000,,,,,,,,,,,400 Fifth Avenue,Boston,Massachusetts,2451,United States,,,,,,,,,,,,,,,Ankur Das,Aryan Dhamani,2026-05-12T23:15:01+05:30,2026-06-26T23:45:12+05:30,2026-06-26T23:45:12+05:30
6834250000002788102,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788102,Ardena,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/one-ardena/about/,,Pharmaceutical Manufacturing,,501-1000,,$253.2 M,,,,,14 Schoolhouse Rd,Somerset,NJ,8873,US,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-03T00:49:59+05:30,2026-07-03T00:50:02+05:30
6834250000003159056,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159056,ASAP Industries,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.asapind.net,,,Oil and Gas Field Machinery and Equipment,,,23473123,,,,,,,,LA,70363,US,980 Blimp Road,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000003159057,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159057,"Asphalt Zipper, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,WWW.asphaltzipper.com,,,Construction Machinery and Equipment,,,15908484,,,,,,,,UT,,US,310 W 700 S,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000002788074,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788074,"Associated Packaging, Inc.",Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/associated-packaging/about/,,Packaging And Containers Manufacturing,,201-500,,$294.2 M,,,,,435 Calvert Drive,Gallatin,TN,37066,US,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-03T00:49:59+05:30,2026-07-03T16:49:49+05:30
6834250000003159058,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159058,Astrodyne Corporation,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.astrodynetdi.com,,,Relays and Industrial Controls,,,83624999,,,,,,,,NJ,,US,36 Newburgh Rd,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:16+05:30
6834250000003159059,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159059,Attachments Direct LLC,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.quickattach.com,,,Construction Machinery and Equipment,,,4702115,,,,,,,,MN,56308,US,5181 State Highway 29 N,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000002788071,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788071,ATW,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,http://www.linkedin.com/company/atw1,,Truck Transportation,,1001-5000,,$444.2 M,,,,,136 Gaither Dr Ste 200,Addison,TX,75001,US,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-03T00:49:59+05:30,2026-07-03T16:49:49+05:30
6834250000003159060,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159060,Avior Integrated Products,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.avior.ca,,,"Aircraft Parts and Auxiliary Equipment, NEC",,,101171445,,,,,,,,QC,,CA,1001 Autoroute 440,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:24+05:30
6834250000002788109,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788109,Axium Packaging,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/axiumpackaging/about/,,Packaging And Containers Manufacturing,,1001-5000,,$950.5 M,$950.5 M,950500000,,,9005 Smiths Mill Rd,New Albany,OH,43054,US,9005 Smiths Mill Rd,New Albany,OH,,US,ACC-010,Prospect,72,8,B,Track 1 — S/4HANA On-Prem,S/4HANA,Currently in planning cycle,9-12 Months,"M&A trigger: Axium Packaging was acquired by SGT Group (Jan 2025), creating a combined specialty packaging group with operations across North America. Post-acquisition ERP harmonization is the standard integration playbook — SGT Group runs separate system",Unbound Campaign May 2026 - Batch 3,KloudData — Unbound Campaign May 2026 | Batch 3,Created from selected lead batch. Review website/domain if required before import.,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-01T13:08:02+05:30,2026-07-03T18:12:50+05:30
6834250000002788089,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788089,Bagatelos Architectural Glass Systems,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/bagatelos-architectural-glass-systems-inc./about/,,Construction,,201-500,,$105 M,,,,,2750 Redding,Sacramento,CA,95820,US,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-03T00:49:59+05:30,2026-07-03T00:50:02+05:30
6834250000003314090,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003314090,Bendix,Old List,Old List,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,http://www.bendix.com,http://www.linkedin.com/company/bendix-commercial-vehicle-systems-llc,+1 440-329-9000,transportation/trucking/railroad,4000,,5000000000,,,,,,,,,,,35500 Chester Rd,Avon,Ohio,44011-1215,United States,,,,,,,,,,,,,,"Bendix Commercial Vehicle Systems LLC is a leader in safety and efficiency solutions for commercial vehicles, employing over 4,000 people. Founded in 1930 and headquartered in Avon, Ohio, the company is part of Knorr-Bremse, a global leader in braking systems. Bendix generates approximately $1.2 billion in revenue.

The company designs and supplies a wide range of products, including active safety technologies, air brake systems, energy management solutions, and wheel-end and vehicle dynamics solutions. Notable innovations include ABS-6 with ESP stability and air disc brakes. Through its joint venture, Bendix Spicer Foundation Brake LLC, it also provides integrated brake systems and components. Bendix serves medium- and heavy-duty trucks, tractors, trailers, buses, and other commercial vehicles across North America. Manufacturing facilities are located in Ohio, Acuña, Mexico; Bowling Green, Kentucky; and Huntington, Indiana.",Aryan Dhamani,Aryan Dhamani,2026-07-03T20:04:18+05:30,2026-07-03T20:04:18+05:30,2026-07-03T20:05:19+05:30
6834250000003159061,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159061,"Best Metal Products Company, Inc.",KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.bestmetalproducts.com,,,Industrial Machinery,,,22204898,,,,,,,,MI,,US,3570 Raleigh Ave SE,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000003159062,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159062,BigRentz,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.bigrentz.com,,,Const Equip Rental,,,44931766,,,,,,,,CA,92614,US,1063 Mcgaw Avenue,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000002788124,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000002788124,Blinds To Go,Unbound 100,Unbound 100,Linda Spione,linda.spione@klouddata.com,6834250000003103001,,https://www.linkedin.com/company/blinds-to-go/about/,,Retail,,1001-5000,,$153 M,,,,,101 East State Route 4,Paramus,NJ,7652,US,,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-05-14T14:48:10+05:30,2026-07-03T00:49:59+05:30,2026-07-03T00:50:02+05:30
6834250000003159063,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159063,Blower Application LLC,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,www.bloapco.com,,,"Service Industry Machinery, NEC",,,10211108,,,,,,,,WI,53022,US,N114W19125 Clinton Dr,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,
6834250000003159064,https://crm.zoho.com/crm/org890324941/tab/Accounts/6834250000003159064,BOSTON CENTERLESS,KD Blitz,KD Blitz,Aryan Dhamani,aryan@klouddata.com,6834250000001208001,WWW.bostoncenterless.com,,,Industrial Machinery,,,24173439,,,,,,,,MA,1801,US,11 PRESIDENTIAL WAY,,,,,,,,,,,,,,,,,,,Aryan Dhamani,Aryan Dhamani,2026-06-18T15:27:53+05:30,2026-06-18T15:27:53+05:30,2026-06-22T09:52:22+05:30
